TS,HA,Error,
143.0,9.0,-0.0378991609193875,
143.0,8.0,-0.03789916091938039,
143.0,7.0,-0.03789916091938039,
143.0,6.0,-0.03789916091938039,
143.0,5.0,-0.03789916091938039,
143.0,4.0,-0.03789916091938039,
143.0,3.0,-0.03789916091938039,
143.0,2.0,-0.03789916091938039,
143.0,1.0,-0.03789916091938039,
143.0,0.0,-0.03789916091938039,
144.0,10.0,-0.19954025401699482,
144.0,9.0,-2.6143391649160463,
144.0,8.0,2.60200599793135,
144.0,7.0,-0.06901766478052096,
144.0,6.0,3.3302290908109313,
144.0,5.0,-1.957102043819134,
144.0,4.0,1.84536363453919,
144.0,3.0,0.8780711344437861,
144.0,2.0,-2.631928865556219,
144.0,1.0,1.5940346054636123,
144.0,0.0,0.8780711344437861,
145.0,10.0,0.022742337689944492,
145.0,9.0,-0.34959047540120736,
145.0,8.0,-0.5851019673265192,
145.0,7.0,-1.655986024771785,
145.0,6.0,-0.3393229414280725,
145.0,5.0,0.042667566427066816,
145.0,4.0,-0.19164821985583913,
145.0,3.0,-0.19164821985583913,
145.0,2.0,-0.19164821985583913,
145.0,1.0,-0.19164821985583913,
145.0,0.0,-0.19164821985583913,
146.0,10.0,1.7749932947611242,
146.0,9.0,0.670982335219481,
146.0,8.0,-0.7136720357905197,
146.0,7.0,-2.187115694886323,
146.0,6.0,-0.40710204381914394,
146.0,5.0,-0.2271717666836537,
146.0,4.0,-0.2271717666836537,
146.0,3.0,-0.2271717666836537,
146.0,2.0,-0.2271717666836537,
146.0,1.0,-0.2271717666836537,
146.0,0.0,-0.2271717666836537,
147.0,10.0,-0.07137632232665325,
147.0,9.0,-0.7205571867464116,
147.0,8.0,-2.3884068642374814,
147.0,7.0,-0.9028416799745678,
147.0,6.0,1.3405994657371068,
147.0,5.0,-2.125746933375442,
147.0,4.0,1.2099721277860667,
147.0,3.0,-0.9314580920978095,
147.0,2.0,-2.125746933375442,
147.0,1.0,-1.0622666632501563,
147.0,0.0,-0.48701959601603306,
148.0,10.0,0.7588619842566509,
148.0,9.0,-1.723490569675338,
148.0,8.0,-2.7451731431026936,
148.0,7.0,-1.3056187061070652,
148.0,6.0,-1.3056187061070652,
148.0,5.0,-1.3056187061070652,
148.0,4.0,-1.3056187061070652,
148.0,3.0,-1.3056187061070652,
148.0,2.0,-1.3056187061070652,
148.0,1.0,-1.3056187061070652,
148.0,0.0,-1.3056187061070652,
149.0,10.0,-0.1530292142801275,
149.0,9.0,-0.1530292142801275,
149.0,8.0,0.5790368369510732,
149.0,7.0,1.2824394160000363,
149.0,6.0,-2.759999999999998,
149.0,5.0,1.8361920464379597,
149.0,4.0,0.1094559928769776,
149.0,3.0,0.1094559928769776,
149.0,2.0,0.1094559928769776,
149.0,1.0,0.1094559928769776,
149.0,0.0,0.1094559928769776,
150.0,10.0,0.6809766094174172,
150.0,9.0,-0.17797858018904122,
150.0,8.0,-1.0769714116716713,
